2024-10-11 05:52:15 [http-nio-0.0.0.0-8080-exec-8] WARN  o.t.s.p.AbstractStandardFragmentInsertionTagProcessor - [THYMELEAF][http-nio-0.0.0.0-8080-exec-8][clients] Deprecated unwrapped fragment expression "header :: header" found in template clients, line 14, col 13. Please use the complete syntax of fragment expressions instead ("~{header :: header}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2024-10-11 05:52:18 [http-nio-0.0.0.0-8080-exec-10] WARN  o.t.s.p.StandardIncludeTagProcessor - [THYMELEAF][http-nio-0.0.0.0-8080-exec-10][add-client] Deprecated attribute {th:include,data-th-include} found in template add-client, line 8, col 15. Please use {th:insert,data-th-insert} instead, this deprecated attribute will be removed in future versions of Thymeleaf.
2024-10-11 05:52:18 [http-nio-0.0.0.0-8080-exec-10] WARN  o.t.s.p.AbstractStandardFragmentInsertionTagProcessor - [THYMELEAF][http-nio-0.0.0.0-8080-exec-10][add-client] Deprecated unwrapped fragment expression "header :: header" found in template add-client, line 8, col 15. Please use the complete syntax of fragment expressions instead ("~{header :: header}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2024-10-11 05:52:24 [http-nio-0.0.0.0-8080-exec-3] WARN  o.t.s.p.StandardIncludeTagProcessor - [THYMELEAF][http-nio-0.0.0.0-8080-exec-3][clients] Deprecated attribute {th:include,data-th-include} found in template clients, line 14, col 13. Please use {th:insert,data-th-insert} instead, this deprecated attribute will be removed in future versions of Thymeleaf.
2024-10-11 05:52:24 [http-nio-0.0.0.0-8080-exec-3] WARN  o.t.s.p.AbstractStandardFragmentInsertionTagProcessor - [THYMELEAF][http-nio-0.0.0.0-8080-exec-3][clients] Deprecated unwrapped fragment expression "header :: header" found in template clients, line 14, col 13. Please use the complete syntax of fragment expressions instead ("~{header :: header}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2024-10-11 05:52:26 [http-nio-0.0.0.0-8080-exec-5] WARN  o.t.s.p.StandardIncludeTagProcessor - [THYMELEAF][http-nio-0.0.0.0-8080-exec-5][view-client] Deprecated attribute {th:include,data-th-include} found in template view-client, line 5, col 15. Please use {th:insert,data-th-insert} instead, this deprecated attribute will be removed in future versions of Thymeleaf.
2024-10-11 05:52:26 [http-nio-0.0.0.0-8080-exec-5] WARN  o.t.s.p.AbstractStandardFragmentInsertionTagProcessor - [THYMELEAF][http-nio-0.0.0.0-8080-exec-5][view-client] Deprecated unwrapped fragment expression "header :: header" found in template view-client, line 5, col 15. Please use the complete syntax of fragment expressions instead ("~{header :: header}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2024-10-11 05:52:28 [http-nio-0.0.0.0-8080-exec-7] WARN  o.t.s.p.StandardIncludeTagProcessor - [THYMELEAF][http-nio-0.0.0.0-8080-exec-7][add-exam] Deprecated attribute {th:include,data-th-include} found in template add-exam, line 6, col 15. Please use {th:insert,data-th-insert} instead, this deprecated attribute will be removed in future versions of Thymeleaf.
2024-10-11 05:52:28 [http-nio-0.0.0.0-8080-exec-7] WARN  o.t.s.p.AbstractStandardFragmentInsertionTagProcessor - [THYMELEAF][http-nio-0.0.0.0-8080-exec-7][add-exam] Deprecated unwrapped fragment expression "header :: header" found in template add-exam, line 6, col 15. Please use the complete syntax of fragment expressions instead ("~{header :: header}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2024-10-11 05:52:48 [http-nio-0.0.0.0-8080-exec-10] WARN  o.t.s.p.StandardIncludeTagProcessor - [THYMELEAF][http-nio-0.0.0.0-8080-exec-10][view-client] Deprecated attribute {th:include,data-th-include} found in template view-client, line 5, col 15. Please use {th:insert,data-th-insert} instead, this deprecated attribute will be removed in future versions of Thymeleaf.
